Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1075,12,10,2,83.3%,49,22,27,→ 0,+1
2,ImpactDrake,1065,10,8,2,80.0%,40,18,22,→ 0,+4
3,CerberusFlame,1054,6,5,1,83.3%,21,8,13,→ 0,+22
4,CobaltDragoon,1045,7,5,2,71.4%,28,14,14,→ 0,+16
5,WeissTiger,1043,5,3,2,60.0%,18,9,9,▲ 4,+26
6,ViperTail,1036,6,4,2,66.7%,21,14,7,▲ 5,+31
7,KnightMail,1032,5,3,2,60.0%,18,11,7,▼ 2,+10
8,DranDagger,1032,7,5,2,71.4%,24,15,9,▼ 1,+12
9,RhinoReaper,1029,8,6,2,75.0%,31,22,9,▼ 1,+10
10,TuskMammoth,1023,9,7,2,77.8%,34,22,12,▼ 4,+2
11,DranSword,1012,7,5,2,71.4%,25,19,6,▲ 3,+14
12,GolemRock,1007,6,3,3,50.0%,14,14,0,▲ 3,+9
13,HellsChain,1001,5,2,3,40.0%,18,17,1,▲ 4,+6
14,ScorpioSpear,1000,6,3,3,50.0%,17,18,-1,▲ 8,+9
15,LeonClaw,999,4,2,2,50.0%,10,11,-1,▲ 17,+21
16,SharkEdge,996,5,2,3,40.0%,13,15,-2,▲ 11,+11
17,SilverWolf,996,6,3,3,50.0%,16,16,0,▼ 5,-5
18,DranBuster,995,5,2,3,40.0%,10,13,-3,▼ 5,-4
19,UnicornSting,993,7,3,4,42.9%,18,22,-4,▼ 9,-15
20,PhoenixWing,993,6,3,3,50.0%,19,21,-2,▲ 8,+9
21,PhoenixRudder,992,6,3,3,50.0%,16,18,-2,▲ 2,+1
22,PerseusDark,988,5,2,3,40.0%,11,15,-4,▼ 3,-6
23,CrimsonGaruda,986,4,1,3,25.0%,8,13,-5,▲ 13,+19
24,WhaleFlame,983,3,1,2,33.3%,6,11,-5,▼ 3,-8
25,LeonCrest,983,4,1,3,25.0%,10,14,-4,▼ 5,-9
26,BlackShell,983,5,2,3,40.0%,8,14,-6,▲ 7,+6
27,WizardRod,981,7,3,4,42.9%,18,24,-6,▼ 11,-14
28,WizardArc,978,4,1,3,25.0%,9,15,-6,▼ 4,-12
29,TyrannoBeat,970,5,1,4,20.0%,10,19,-9,▼ 4,-19
30,HellsReaper,966,4,0,4,0.0%,6,16,-10,▼ 4,-20
31,WhaleWave,965,5,2,3,40.0%,9,18,-9,▲ 3,-12
32,DranBrave,964,5,1,4,20.0%,10,20,-10,▼ 2,-18
33,WizardArrow,961,4,0,4,0.0%,7,16,-9,▼ 15,-34
34,PegasusBlast,959,3,0,3,0.0%,2,13,-11,▼ 5,-25
35,HellsHammer,953,4,0,4,0.0%,5,19,-14,▼ 4,-25
36,SamuraiSaber,942,4,0,4,0.0%,3,16,-13,▼ 1,-29
